Bird.ID,Species,Nest.Type.Specific,Nest.Type,Sex,Family,Assay,Nest.Type.Ind,Assay.Date,Assay.Time,Collect.Date,Collect.Time,Dissec.Init.,Treatment,Capture,Mount.ID,Mount.Sex,Song.ID,Time.Point,Days.Delayed,Location,Playback.start,Box.set,Bird.in.hand,Bird.in.iso,Latency.Sample,Decapitate,Euth?,RNA.blood,Mass,Brain.time,Brain.sec,Body.time,Plasma,Wing,Tarsus,Testosterone,logTestosterone,T.Exclude?,VmT.Sequenced,Brain.Macrodissection.Time,Territory.comments,Assay.comments,Dissection.comments,Breeding.comments,Other.comments,nest stage,observer,scorer initials,Assay file,Vocalizations,Songs,Hovers,Flyovers,Dives,Pecks,Attacks,Physical.Contact,Attack.Rate,Chase,Tail-flicks,Wing Waves,Copulation Attempts,Aggression.Score,Epochs.Agg,Distance (raw/epochs),Raw distance,Number of epochs,Exclude?,Notes,Brown,DarkGreen,MEred,MEtan4,MEpink4,MEsienna4,MEroyalblue,MEturquoise,MEcoral3,MEblue,MEdarkorange2,MEpurple,MEyellowgreen
KYTSF13,Tree Swallow,Obligate.Cavity,zCavity,F,Hirundinidae,25,NA,4/10/19,1:45 PM,4/13/19,1:45 PM,SEL,Playback,0,M Salvage,M,SW91,Delayed,3 days 4/13/19,KY 25,,10:09 AM,10:24 AM,10:26 AM,NA,:32,Yes,50,19,9:18,558,15:09,,117,,0.1179,-0.928486195,,Yes,,,,,,,,SEL,JKK,190410-1337,9,0,3,5,1,0,7,7,0.116666667,0,0,0,0,0.266666667,,3.208333333,192.5,60,,,,,-0.091072816,-0.096121297,-0.059291363,-0.09763093,0.026896061,0.043692625,-0.023734055,,,,
KYTSF5,Tree Swallow,Obligate.Cavity,zCavity,F,Hirundinidae,11,NA,29-Mar,10:00 AM,4/6/19,12:15 PM,SEL,Playback,Box,KYM1,M,SW91,Delayed,Collected 4/6/19 @ 12:15 PM,KY 13.1,10:01 AM,12:05 PM ~10 min or less,12:12 PM,12:15 PM,NA,:21,Yes,50,19.2,8:40,520,20:02,80,115.5,,0.04835,-1.315603522,,Yes,,,,,,,,SEL,JKK,190329-0959,7,0,6,6,0,0,4,4,0.066666667,0,0,0,0,0.266666667,,1.05,63,60,,,,,-0.086929607,-0.082525755,-0.030314733,-0.109121343,0.0481577,0.089030058,-0.03511651,,,,
KYTSF7,Tree Swallow,Obligate.Cavity,zCavity,F,Hirundinidae,14,NA,4-Apr,9:45 AM,4/6/19,9:50 AM,SEL,Playback,Box,TSM2,M,B66v3,Delayed,2 days 4/6/19,KY 43,,,3:12 PM,3:15 PM,NA,:24,Yes,50,22.9,9:00,540,15:22,95,120.5,,0.20245,-0.693682219,,Yes,,,,,,"Great Assay! F on box most of the time, several attacks (she is green/ brown), M stayed at 3.5 m",,SEL,JKK,190406-0945,14,0,13,1,0,0,10,10,0.166666667,0,0,3,0,0.45,,0.075,4.5,60,,,,,-0.078073463,-0.078279967,-0.029314603,-0.099626033,0.063654326,0.071577745,-0.013883578,,,,
KYTSM5,Tree Swallow,Obligate.Cavity,zCavity,M,Hirundinidae,12,NA,4/6/19,7:40 AM,4/8/19,7:45 AM,SEL,Playback,Box,F2,F,SW91,Delayed,2 days 4/8/19,KY 32,,2:03 PM,2:25 PM,2:25 PM,NA,:24,Yes,100,19.5,8:21,501,14:20,120,124,,2.69125,0.429954043,,Yes,,,,,,"M responded mainly, F came in a few times, may be the same M as Assay #1?",,SEL,JKK,190406-0741,5,2,5,2,1,0,0,0,0,0,0,1,0,0.15,,11.625,697.5,60,,no 30 sec of silence,,,0.124360768,-0.100992874,-0.04519612,-0.091014134,,,,0.078821259,-0.002680242,-0.05500134,0.110040775
PWF2,Prothonotary Warbler,Obligate.Cavity,zCavity,F,Parulidae,1,NA,4/24/21,4:00,4/25/21,10:45,SEL,Playback,Box,PWF1,F,F chips 3,Delayed,1,MBC 11,,,10:45,10:49,NA,:31,Yes,50,15,9:06,546,16:19,78,73,18.9,0.688023333,-0.162396834,,Yes,6:07,paired with PWM2,"both very aggressive, attacking on box","brain slightly pulled apart between telencephalon, pieceof skull frozen on; pleen dark red","follicles small, yellow; one med yellow follicle",,n4,"SEL, TAE",SJT,PROW_AGG_ASSAY1_F_4.24.21_SEL,11,0,2,16,0,0,7,7,0.116666667,0,0,0,0,0.416666667,,1.15,69,60,Maybe for brains,,,,-0.10089372,-0.100272365,0.12596055,-0.010195127,-0.027013287,0.011564716,0.1905464,,,,
PWF6,Prothonotary Warbler,Obligate.Cavity,zCavity,F,Parulidae,3,NA,4/28/21,2:51,4/29/21,5:03,SEL,Playback,Net,PWF2,F,F chips 2,Delayed,1,BCA 2 ,4:59,,5:03,5:07,NA,:30,Yes,50,14,8:02,482,25:05:00,80,71.5,18.6,0.632859773,-0.198692509,,Yes,6:37,paired w PWM7,"F more agg to F mount, attacked most of trial",,developed oviduct; follicles small and white/yellow,,n4,SEL,SJT,PROW_AGG_ASSAY3_F_&_M_4.28.21_SEL,1,0,7,5,0,0,42,42,0.7,0,0,0,0,0.9,,0.216666667,13,60,,,,,-0.118719021,-0.123954995,0.117014257,0.00717321,-0.033587441,0.04656362,0.181454446,,,,
PWF8,Prothonotary Warbler,Obligate.Cavity,zCavity,F,Parulidae,5,NA,4/29/21,5:39,4/30/21,3:48,SEL,Playback,Net,PWF2,F,F chips 1,Delayed,1,BCA 15,3:44,,3:48,3:55,NA,:23,Yes,50,15.3,10:09,609,15:38,107,69.5,19,0.382499873,-0.417368705,,Yes,6:39,,"TAE followed F, didn’t get beh on male; F on mount most of trial",,"1 large red follicle, 1 med orange, rest small white/yellow, enlarged oviduct",,n5,TAE,SJT,PROW_AGG_ASSAY5_F_4.29.21_TAE,0,0,0,0,0,50,0,50,0.833333333,0,0,0,0,0.833333333,,0,0,60,,F on mount entire time,,,-0.110325619,-0.102313917,0.108761781,0.001738141,-0.051481016,0.012872877,0.185402431,,,,
PWF9,Prothonotary Warbler,Obligate.Cavity,zCavity,F,Parulidae,9,NA,4/30/21,12:00,5/1/21,1:29,SEL,Playback,Net,PWF3,F,F chips 2,Delayed,1,BCA 62,,,1:29,1:38,NA,:22,Yes,100,16,9:21,561,16:00,120,71.5,19.4,0.5833,-0.234108024,,Yes,5:52,F building when caught,F came in a little later,Nicked PTL + tiny piece of Hp,"BP; one large orange/red follicle, rest small and yellow",,n4,TAE,SJT,PROW_AGG_ASSAY9_F_TAE,19,0,2,2,0,0,3,3,0.065217391,0,3,2,0,0.260869565,,4.217391304,194,46,Maybe for brains,,,,-0.101542876,-0.093221617,0.11962795,-0.012844632,0.10971388,0.059685454,-0.043051021,,,,
PWM2,Prothonotary Warbler,Obligate.Cavity,zCavity,M,Parulidae,1,NA,4/24/21,4:00,4/25/21,11:31,SEL,Playback,Net,PWF1,F,F chips 3,Delayed,1,MBC 11,11:30,,11:31,11:35,NA,:21,Yes,50,14.1,7:10,430,14:29,44,74,19.5,10.634,1.026696656,,Yes,5:57,paired with PWF2,,spleen pink ,"testes large, white",,n4,TAE,SJT,PROW_AGG_ASSAY1_M_4.24.21_TAE,3,0,4,14,0,6,17,23,0.403508772,0,0,0,0,0.719298246,,1.93,110,57,,,,,0.062870468,-0.082596169,0.083276799,-0.022384048,,,,0.027650961,0.040442785,0.04387169,-0.018905973
PWM7,Prothonotary Warbler,Obligate.Cavity,zCavity,M,Parulidae,3,NA,4/28/21,2:51,4/29/21,5:02,SEL,Playback,Net,PWF2,F,F chips 2,Delayed,1,BCA 2,4:59,,5:02,5:18,NA,:24,Yes,50,13.9,6:30,390,20:23,55,73.5,18.5,1.97375,0.295292143,,Yes,9:00,paired w PWF6,,,"testes large and white, really large seminal glomerulus",,n4,SEL,SJT,PROW_AGG_ASSAY3_F_&_M_4.28.21_SEL,0,1,0,21,0,0,7,7,0.127272727,0,0,0,0,0.509090909,,2.345454545,129,55,,,,,0.081390015,-0.146055401,0.117007681,0.030924694,,,,0.026066697,0.077368142,-0.088545515,0.007842108
PWM8,Prothonotary Warbler,Obligate.Cavity,zCavity,M,Parulidae,4,NA,4/29/21,5:01,4/30/21,9:08,SEL,Playback,Net,PWM3,M,XC136275,Delayed,1,BCA 9,,,9:08,9:12,NA,:18,Yes,none,13.3,8:09,489,15:57,61,72.5,19.5,4.711,0.673113104,,Yes,6:49,paired with PWF7,"TAE followed M, SEL followed F on separate day; M on mount entire assay, a few flyovers, F still building",great AD,"M has CP, testes large and white",,n4,TAE,SJT,PROW_AGG_ASSAY4_M_4.29.21_TAE,0,0,2,1,0,0,48,48,0.941176471,0,0,0,0,1,,0.450980392,23,51,,,,,0.112054168,-0.099302483,0.149844391,-0.010499472,,,,0.045521668,-0.005214998,0.120567081,-0.008928204
PWM9,Prothonotary Warbler,Obligate.Cavity,zCavity,M,Parulidae,10,NA,4/30/21,12:42,5/1/21,12:02,SEL,Playback,Net,PWM6,M,XC136275,Delayed,1,BCA 66,12:02,,12:08,12:12,NA,:27,Yes,50,13.8,8:10,490,18:08,75,73.5,19,4.88225,0.688620014,,Yes,6:14,Paired,M on box entire time,M brain dropped onto garbage bag for 1 sec,"G2 super tiny and white, G1 large and white; seminal glomerulus has one developed and big, other small and no coiling",,,TAE,SJT,PROW_AGG_ASSAY10_M_TAE,0,0,0,0,0,30,1,31,0.516666667,0,0,0,0,0.516666667,,0,0,60,Yes for brains,,,,0.059094611,-0.089589912,0.082828128,-0.015653044,,,,0.045965475,0.011602969,0.066107223,0.0056463
YWF6,Yellow Warbler,Open,Open,F,Parulidae,18,NA,5/7/21,1:50,5/8/21,12:51,SEL,Playback,,YWM5,M,99354,Delayed,1,GP 21,,,12:51,12:53,NA,:17,Yes,none,8.9,6:19,379,23:08,40,60.5,18.4,0.395973,-0.402334426,,Yes,5:36,,,,"follicles small, white",,,SEL,SJT,YEWA_AggAssay_18_M_F,3,0,2,14,0,0,1,1,0.016666667,0,0,0,0,0.283333333,,1.033333333,62,60,,only 40 uL plasma,,,-0.103534788,0.079315185,-0.166093098,0.115135579,0.029842117,0.07031752,-0.089919729,,,,
YWF8,Yellow Warbler,Open,Open,F,Parulidae,16,NA,5/3/21,1:53,5/10/21,1:59,SEL,Playback,,YWM5,M,205371,Delayed,7,GP 13/14,,,1:59,2:05,NA,:16,Yes,50,8.9,6:07,367,20:00,45,62,17.7,0.092826087,-1.032329957,,Yes,5:04,F building,Pair responded but not aggressive,,"follicles small, yellow",F breast very streaky red,,SEL,SJT,YEWA_AggAssay_16_M_F,6,0,0,3,0,0,0,0,0,0,0,0,0,0.05,,6.05,363,60,,,,,-0.09721854,0.071150297,-0.187150747,0.100395521,0.034985558,0.035493006,-0.054112152,,,,
YWF9,Yellow Warbler,Open,Open,F,Parulidae,22,NA,5/13/21,1:54,5/14/21,2:06,SEL,Playback,,YWF5,F,27182,Delayed,1,GP 25/26,11:46,,12:06,12:08,NA,:17,Yes,50,10.5,6:48,408,15:21,70,60.5,18.4,0.281615424,-0.550343563,,Yes,5:39,,"F agg, M less so - same F as Assay # 15?","BP, 1 large orange follicle, 2 med orange follicles",,,,,SJT,YEWA_AggAssay_22,3,0,0,11,0,0,2,2,0.033333333,0,0,0,0,0.216666667,,3.566666667,214,60,,,,,-0.096640801,0.060244141,-0.175364585,0.108900141,0.04680396,0.06024334,-0.055853736,,,,
YWM6,Yellow Warbler,Open,Open,M,Parulidae,5,NA,5/11/20,11:45 AM,5/21/20,12:17,SEL,Playback,Net,YWM2,M,516692,Delayed,10,CN (in treeline by box 4),11:45 AM,-,12:17 PM,12:17 PM,NA,0:16,Yes,,10.1,6:32,392,10:37,76,66,18.5,6.825,0.834102656,,Yes,6:20,,"male responded, attacked once then stayed about 5-20m away the rest of the assay and barely sang, continued assay for another 4 minutes (score the original 5 minutes), it was also cold and windy","unpaired M?, huge CP and seminal glomerli",,,?,AMT,SJT,YEWA_AggAssay5_5.11.20,0,1,0,0,0,0,1,1,0.016666667,0,0,0,0,0.016666667,,10.83333333,650,60,maybe,,,,0.065726137,0.054964991,-0.180924774,0.099613822,,,,0.045758771,-0.36317284,0.118981949,0.039500709
YWM8,Yellow Warbler,Open,Open,M,Parulidae,18,NA,5/7/21,1:50 PM,5/8/21,12:50,SEL,Playback,Net,YWM5,M,99354,Delayed,1,GP 21,,,12:50 PM,1:03 AM,NA,:17,Yes,none,9.7,5:53,353,20:05,36,66,17.8,3.3285,0.522248561,,Yes,,,,PTR destroyed,"testes large and white, huge seminal glomus",,,,SJT,YEWA_AggAssay_18_M_F,5,0,0,3,0,0,34,34,0.666666667,0,0,0,0,0.725490196,,0.725490196,37,51,,,,,0.059800716,0.069593963,-0.192294637,0.107841896,,,,0.040111175,-0.360621315,0.098806964,0.028748014
BBF15,Eastern Bluebird,Obligate.Cavity,zCavity,F,Turdidae,20,NA,4/29/19,8:45 AM,4/29/19,8:45 AM,SEL,Playback,Box,Male A,M,M3,Immediate,,EC 15,8:45 AM,8:59 AM,9:00 AM,9:04 AM,19,:34,Yes,100,31.6,9:38,578,16:10,270,94.5,20.3,0.04435,-1.353106376,,Yes,,,,,,"Ovary follicles small, pink/white : Only 1 AD : nest n2",,,,190429-0841,0,0,3,4,0,0,0,0,0,0,0,7,0,,,0.733333333,44,60,,,,,-0.110146137,-0.119425766,-0.025445018,0.061740612,-0.035424205,0.007963616,0.076224745,,,,
BBF16,Eastern Bluebird,Obligate.Cavity,zCavity,F,Turdidae,9,NA,4/4/19,9:57 AM,4/4/19,9:20 AM,SEL,Playback,Box,BBMB,M,M3,Immediate,,CS Box 7,9:57 AM,10:00 AM,10:12 AM,10:13 AM,16,:40,Yes,100,30.1,9:00,540,15:35,145,109.5,29.6,0.0473,-1.325138859,,Yes,,,,,,Beginning of brood paten? : Good assay!,,,,190404-0917,1,0,9,4,0,0,4,4,0.066666667,0,0,3,0,,,1.316666667,79,60,,,,,-0.062711157,-0.127329548,-0.00169266,0.071433316,0.029593487,0.024533961,0.114598897,,,,
BBM10,Eastern Bluebird,Obligate.Cavity,zCavity,M,Turdidae,1,NA,3/11/19,10:12 AM,3/11/19,10:30 AM,SEL,Playback,Net,"BBMB, BBF11",NA,M1,Immediate,,EC 4,10:15 AM,,10:30 AM,10:31 AM,16,:22,Yes,0,29.1,5:55,355,10:19,160,,,0.21625,-0.665043884,,Yes,,,,"""blood explosion"". gray and small testes. all information taken from recording on Box",,,,,,BBM10,,,,,,,,,,,,,,,,,,,,,,,0.084574428,-0.12821368,-0.029255136,0.059320722,,,,0.00591897,0.022557157,0.023991078,-0.009054955
BBM12,Eastern Bluebird,Obligate.Cavity,zCavity,M,Turdidae,19,NA,4/26/19,10:00 AM,4/26/19,10:00 AM,SEL,Playback,Net,BBM11,M,M1 BBM12,Immediate,,EC 5,,10:00 AM,10:20 AM,10:21 AM,21,:50,Yes,100,28.8,9:50,590,16:32,94,102,20.8,5.409,0.733116981,,Yes,,,"M super agg, attacked whole time : F stayed on pole",Spleen light colored : Dropped + lost blood but still have enough for T,,"G1 broke : DD + glomerulus broke : Parasitic worm in gut, Giant! large intestine? body cavity?",,,,190426-0951,0,0,0,13,0,0,59,59,0.983333333,0,0,11,0,,,0.166666667,10,60,,Many flyovers were just momentarily leaving the box.,,,0.082349105,-0.151701589,-0.031502831,0.063724576,,,,0.003730395,0.009225512,-0.016681642,-0.025107163
BBM14,Eastern Bluebird,Obligate.Cavity,zCavity,M,Turdidae,8,NA,,,4/3/19,10:32 AM,EMG,Playback,Box,BBF11,F,F3,Immediate,5,SW 9,NA,10:32 AM,10:34 AM,10:35 AM,NA,:24,Yes,100,27.1,~12,NA,17:00,220,99.8,21,2.3495,0.370975449,,Yes,,,,"Good brain, nicked L tel",,"M + F stayed outside 20m, M singing, during 5 min assay. After to lure them closer, I played M stimulus + M sang from a distance. Then after ~5 min silence, pair came onto box + F started attacking mount. Box trap closed during the activity.",,,,190403-1307,1,14,0,1,0,0,0,0,0,0,0,0,0,,,21.66666667,1300,60,,,,,0.064777163,-0.137546703,-0.04584361,0.073696946,,,,-0.0005097,0.02491545,0.07672051,-0.017426321
CWF1,Carolina Wren,Facultative Cavity,zCavity,F,Troglodytidae,7,Box,3/26/20,8:53 AM,3/26/20,8:53 AM,SEL ,Playback ,Net ,CWM2,M,duet51277,Immediate,-,BA49,8:53 AM,-,9:01 AM,9:07 AM,14,0:20,Yes,50,21.8,7:32,452,12:16,102,,,0.595603448,-0.225042797,,Yes,,,caught within 8 minutes from start of playback ,"left eye smushed so put right eye on top of left, has brood patch, slpeen broke into two, ovaries small and white, adrenals in a couple of pieces",,may have mixed up CWM3 and CWF1 brain and blood ,n3?,SEL,AMT,CARWAggAssay7,22,0,0,12,0,0,7,7,0.145833333,0,0,0,0,0.395833333,,2.166666667,104,48,No,started scoring @0:40,,,0.040503314,0.071889656,0.070649953,0.04359482,-0.391618439,0.01887423,-0.017921007,,,,
CWF3,Carolina Wren,Facultative Cavity,zCavity,F,Troglodytidae,10,Box,3/30/20,9:21 AM,3/30/20,9:27 AM,SEL ,Playback ,Net ,CWM2,M,duet132979,Immediate,-,BA46,9:21 AM,-,9:27 AM,9:32 AM,11,0:19,Yes,50,22.5,8:58,538,14:52,96,,,0.3088,-0.510322708,,Yes,,,female stayed in bushes ~6m but I didn't see her ,"follicles 1 med and 1 small yellow/yolky, rest of ovary small and white ",,,n3-n5?,SEL,,,,,,,,,,,,,,,,,,,,,,,,,-0.129702282,0.085701592,0.107040793,0.033484043,-0.375244685,0.037229374,0.021083545,,,,
CWF6,Carolina Wren,Facultative Cavity,zCavity,F,Troglodytidae,9,Natural,3/29/20,8:26 AM,3/29/20,8:47 AM,EMG ,Playback ,Net ,CWM3,M,duet51277,Immediate,-,SW (front entrance inside gates) ,8:26 AM,-,8:47 AM,9:05 AM,39,0:36,Yes,75,16.7,8:29,509,19:00,143,,,0.24765,-0.606161668,,Yes,,,,"better brain, took lower jaw off completely, nicked tellenchephalon, larger and darker spleen, large adrenals, ovary was mostly small and white follicles, a couple large and white (no yellow)  follicles ",,,n3-n5?,EMG,AMT,CARWAggAssay9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.744186047,118,43,No,"started scoring @ 5:10 when EMG first saw the wren, originally yhey didn't hsow up until the last minute of playback so EMG continued the assay for another 4 minutes, EMG says in the audio file that she had a hard time calling out the female vocalizations because it was hard to decipher from the duet recording ",,,-0.094578533,0.097032111,0.092046532,0.004363197,-0.350429301,-0.001335931,0.048974353,,,,
CWF7,Carolina Wren,Facultative Cavity,zCavity,F,Troglodytidae,15,Box,3/30/20,9:28 AM,3/30/20,~10:18 AM,EMG ,Playback ,Net ,CWM3,M,duet132979,Immediate,-,GP40,9:33 AM,-,~10:18 AM ,~10:19 AM ,NA,0:35,Yes,30,only body weighed (15.8g),7:59,479,<18 mins from start of playback,113,,,0.22825,-0.641589214,,Yes,,"nest is tall with pine needles, moss, and grass ",pair is not very aggressive ,"head in iso while in net, nicked L telenchephalon, spleen kind of large but not dark, several large follicles but no yellow, large adrenals ",,AMT had to fill in the collection data from the recording so some data was hard for me to hear/figure out timing ,n4?,EMG,AMT,CARWAggAssay15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.842105263,92,19,Yes,"started scoring @ 10:36, wrens didn't come in until the end so EMG restarted the stimulus and I scored from there, there are some epochs were a wren was there (w/i 10m) but I couldn't count it because didn't know what sex it was, pair not very aggressive despite nest stage, excluded because less than 2.5 mins of behavior was recorded",,,-0.117404096,0.071422013,0.064469637,0.033354314,-0.371133044,0.011270488,0.023453018,,,,
